,distBF,distRA,distSeaTac
2695,67511.69464267963,78820.10938392038,97614.87641092991
2696,60716.11072180225,81781.87614537675,90473.33950794736
2697,11388.994585600029,13977.37823874022,23518.486629423824
2698,28054.620986637445,47097.52838878236,58931.56944896742
2699,13323.89941538992,22846.53600748761,17940.571247568754
2700,51183.60086543523,67633.12950598441,82066.04457858826
2701,30025.16381765825,6589.989422059048,24774.874119071406
2702,51627.973517555896,57358.50602311651,79225.78774164397
2703,48846.563640479246,69133.89477314368,79185.28981852083
2704,12911.454963461398,26874.668314894272,41755.01714104812
2705,15805.053609428598,16316.752424085082,16210.369540723887
2706,64863.89648080119,69100.97133474026,91960.97612043402
2707,87469.5250223955,100712.27358043492,118134.4914756149
2708,65590.32629772603,54253.17545108785,80924.1922251995
2709,28596.119959968313,53092.218426163585,54569.550192384966
2710,34692.52468602978,51798.79666562332,65555.86220632205
2711,45595.780919198136,24324.709272401564,26807.82119170073
2712,76178.01454674998,68322.92831277654,94845.6451884225
2713,107956.4088170532,88376.83829811917,111928.84561759816
2714,39717.145687861135,15888.812916431696,29150.996089143766
2715,84535.81902067713,91745.69073788119,113319.04598154115
2716,27809.892205222804,8174.797554146948,34842.04882181357
2717,50440.937089513674,55586.61992143191,77709.1968634642
2718,62074.806510315146,82483.23154087737,92169.76017594592
2719,64311.789115880245,53041.71508112252,33533.374077093606
2720,100760.13925485613,102778.54958569318,126996.32445335297
2721,61156.081810370066,51652.584268148625,30264.92421591756
2722,91842.09919849772,88038.08579505303,113998.45988503908
2723,21860.624101506495,40219.32739267625,52713.6631161395
2724,49039.847931253025,70798.63900822915,78565.8059733998
2725,77302.21797662198,59972.85744671747,48763.94667977647
2726,46962.23533702611,34298.66533831078,60963.0054479538
2727,60536.25030845821,74791.14975917715,91242.65378124101
2728,64599.0269777549,75117.64291565285,94430.367455915
2729,16072.296817891085,37638.404380718486,46803.310237470134
2730,68578.81957355296,73933.39476412938,96313.41755184457
2731,10835.688021793905,28121.750672043683,23794.41941700501
2732,54423.73662190729,49722.260292568644,75452.24825300241
2733,52091.19445264047,28652.85367341158,36126.23574680992
2734,62878.413022614695,59983.06200592241,85417.01233671453
2735,144159.4443907837,121990.03195425158,141975.21016636802
2736,9009.87364043621,21455.36324503445,21898.03355726695
2737,82496.85112681567,100040.36898831687,113279.00142334688
2738,46840.86011867903,41988.03241027125,16654.66717390239
2739,50410.009217904466,39634.800010771396,66233.76875150698
2740,41114.73607200981,47019.75918590421,68470.32773051201
2741,54053.204263311345,71896.83497347533,84897.09240953544
2742,67246.13439868689,47687.428654336116,41542.75593430154
2743,95088.9082921136,71207.43024985491,75762.04494284675
2744,41200.84816771426,40784.77248824323,14116.166718252965
2745,56236.65024988918,70182.1262529235,86862.11755177841
2746,49543.49812361686,25647.808778705275,35718.57759725214
2747,74318.93410915806,62037.326386716515,88656.52041849398
2748,65946.82943294359,46858.60826738027,39814.02691128999
2749,91126.35722370516,109205.99050661288,121784.66641886959
2750,75407.0107062744,65177.79912752739,44518.43407146764
2751,57157.82897422345,49953.01314942079,26487.29610264346
2752,32984.81419797029,57645.897547614135,56594.735760237774
2753,98792.69133168107,74553.19558087514,80858.52288674272
2754,44893.29671608492,34426.79846729675,60928.25215370262
2755,110635.11682687508,90698.42172152268,113903.64379285957
2756,136486.88332572242,114161.07477695856,134004.37512894298
2757,146799.69070008217,125833.64622148595,120066.67207333172
2758,62677.98076546819,82106.02228636008,93150.80004351416
2759,74056.65165886874,68376.09301285684,44150.7686277758
2760,43607.308034687616,38788.16431423193,64249.43555078548
2761,82815.96794966576,68969.5636759832,95352.75888998351
2762,27786.387964952875,52447.10180339438,52034.23747319571
2763,59233.08505962473,78370.34185172885,89820.31164360531
2764,76571.13385881082,83683.7687719978,105233.77105571861
2765,94132.71747217937,101714.32237739254,123148.75502466124
2766,61609.66596779245,79467.73853839886,92422.320832228
2767,87372.72847417365,104702.22587307381,118170.72917369043
2768,67350.34695807821,75954.07696947826,96525.6701868536
2769,14560.975892605784,11221.552758927139,22127.791015642717
2770,26240.258077003127,34885.7125389818,54121.31595980128
2771,35964.3339629566,13793.991820147196,39182.77735372074
2772,81593.56522911397,72418.97861255819,99061.5098573784
2773,75108.983001523,77558.25270667137,101355.2768397315
2774,76033.26972927937,82942.93020794226,104600.15525739595
2775,69973.0707491362,61349.98339954546,39195.23655417227
2776,87600.1324439806,77158.92970006366,56722.12190830335
2777,80804.89010536672,74697.1525056306,50815.851593133855
2778,20485.336868417096,44190.561710636604,39980.71813299212
2779,71997.89053666357,53109.870024658165,45147.12677394104
2780,35207.800632121034,21537.684862516417,48118.57553899008
